Cluster,CID,Platform customer ID,customer_name,Detail/Error,serial,Customer ID,platform id
EU,0e219f6eca1d11eda9fa06560ebc3512,7fab5f787ab711ecb8703e7cfd568923,Wentzo,Company: Wentzo – Aruba Central | Region: eu-central | Type: MSP | Found IDs: 0e219f6eca1d11eda9fa06560ebc3512 | Matched inside Tenants: PCOU Willibrord,CNNRKD52TY,026b7ce20e8b11ed98c4022bd19aa8e4,ec53842c0e8a11eda1d062d697693ce1
EU,288f71c51c75467383855219973b2fd1,e6a2574c849c11ec8dcf924ebb952c5e,Danfoss A,Company: Danfoss A/S | Region: US | Type: STANDALONE | Found IDs: 288f71c51c75467383855219973b2fd1,CNQ0KD5DG0,cebafa6f01a4405683f890ad6d40b19e,
EU,339a9b68e83641f7b4e0704e71780629,8bd57e3c7ab711ecb882e24f515411d3,STICHTING LEGER DES HEILS,Company: STICHTING LEGER DES HEILS | Region: eu-central | Type: STANDALONE | Found IDs: 339a9b68e83641f7b4e0704e71780629,CNSCKZD4RG,69ddd53412f311edb5e2c2956deb38f9,
EU,4000615,8c96dad27ab711ec9250ba50c21c58e9,NorgesGruppen Data AS,Company: NorgesGruppen Data AS | Region: eu-central | Type: STANDALONE | Found IDs: 4000615,CNSCKZD4RJ,69ddd53412f311edb5e2c2956deb38f9,
EU,545d8478f8e411efafc1366082a9efc0,d1c525c47ab611ec9e04e24f515411d3,,Company: GlobalConnect AB | Region: eu-central | Type: MSP | Found IDs: 545d8478f8e411efafc1366082a9efc0 | Matched inside Tenants: [GC_NO] 240652-DP NORWAY AS,CNSCKZD4T3,69ddd53412f311edb5e2c2956deb38f9,
EU,55a6eb7ef94548609eaf8a7108caa93e,e85e9ef87ab811ec9fa536dc373dc7bb,,Company: Nordlo Group AB | Region: eu-central | Type: MSP | Found IDs: 55a6eb7ef94548609eaf8a7108caa93e | Matched inside Tenants: Borås - Cellbes,CNSCKZD4VR,69ddd53412f311edb5e2c2956deb38f9,
EU,6cdb2d27f5354e4d87f07232b6a2a044,6bb2d0c0849c11ecabd5924ebb952c5e,SGTS,"Company: Saint-Gobain SAML 07E4564C | Region: US | Type: MSP | Found IDs: 6cdb2d27f5354e4d87f07232b6a2a044, 849d23f11b93481697a01c72bbd6e6ee, b5e3fa714c244c94af55f55e60fc152d, d573e30aeeea4c3fb041562185add17d | Matched inside Tenants: SGTS-FR, SGTS-EMME, SGTS-IN, SGTS-NA",CNSCKZD4X0,69ddd53412f311edb5e2c2956deb38f9,
EU,6cdb2d27f5354e4d87f07232b6a2a044,e536a042c0ed11eca8480a4dae534d5e,SGTS,Company: SGTS-FR | Region: eu-central | Type: TENANT | Found IDs: 6cdb2d27f5354e4d87f07232b6a2a044,CNSCKZD4X2,69ddd53412f311edb5e2c2956deb38f9,
EU,7cf57caed60748c8a0cde24d34e3e695,f53947567ab611ecb172beab16355848,ORNUA CO,Company: ORNUA CO-OPERATIVE | Region: eu-central | Type: STANDALONE | Found IDs: 7cf57caed60748c8a0cde24d34e3e695,CNSCKZD4X3,69ddd53412f311edb5e2c2956deb38f9,
EU,849d23f11b93481697a01c72bbd6e6ee,6bb2d0c0849c11ecabd5924ebb952c5e,SGTS,"Company: Saint-Gobain SAML 07E4564C | Region: US | Type: MSP | Found IDs: 6cdb2d27f5354e4d87f07232b6a2a044, 849d23f11b93481697a01c72bbd6e6ee, d573e30aeeea4c3fb041562185add17d | Matched inside Tenants: SGTS-FR, SGTS-EMME, SGTS-IN",CNSSKV304L,cfee3cf3d8d34e9eace7d10845962028,
