Serial Number,Success,Status,MAC Address,Part Number,Device Model,Device Status,Workspace ID,Folder,Rule,Error,Order Obj Key,Order Category,Order POS ID,Order Serial Number,Order MAC Address,Order Bill To Name,Order End User Name,Order Part Number,Order Part Description,Order Invoice Date,Order Ship Date,Order Qty,Order Ext Cost,Order Invoice No,Order Order No,Order Customer PO,Order Line No,Order Line Type,Order Zip Code,Order Source,Order Status,Order Party ID,Order Country Party ID,Order Global Party ID,Order Created At,Order Updated At
"CNPBKPP2D9",True,"Found","34:3A:20:C9:11:96","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38976540","network","7100832648","CNPBKPP2D9","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38976540","0","","","IN","complete","","","","2023-03-02T19:37:58.048275Z","2023-03-02T19:37:58.962962Z"
"CNPBKPP2DC",True,"Found","34:3A:20:C8:BA:B6","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38976542","network","7100832648","CNPBKPP2DC","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38976542","0","","","IN","complete","","","","2023-03-02T19:37:58.062356Z","2023-03-02T19:37:59.087127Z"
"CNPBKPP2DF",True,"Found","34:3A:20:C8:EE:DC","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38976543","network","7100832648","CNPBKPP2DF","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38976543","0","","","IN","complete","","","","2023-03-02T19:37:58.071194Z","2023-03-02T19:37:59.082167Z"
"CNPBKPP2FF",True,"Found","34:3A:20:C8:C7:0E","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38976549","network","7100832648","CNPBKPP2FF","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38976549","0","","","IN","complete","","","","2023-03-02T19:37:58.130318Z","2023-03-02T19:37:59.275632Z"
"CNPBKPP2FT",True,"Found","34:3A:20:C9:17:0C","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38976561","network","7100832648","CNPBKPP2FT","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38976561","0","","","IN","complete","","","","2023-03-02T19:38:02.932886Z","2023-03-02T19:38:03.332714Z"
"CNPBKPP2FV",True,"Found","34:3A:20:C8:BA:7A","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38976562","network","7100832648","CNPBKPP2FV","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38976562","0","","","IN","complete","","","","2023-03-02T19:38:02.937197Z","2023-03-02T19:38:03.381466Z"
"CNPBKPP2G1",True,"Found","34:3A:20:C8:ED:BA","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38976979","network","7100832648","CNPBKPP2G1","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38976979","0","","","IN","complete","","","","2023-03-02T19:40:09.511577Z","2023-03-02T19:40:10.106254Z"
"CNPBKPP2G5",True,"Found","34:3A:20:C9:07:98","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38976983","network","7100832648","CNPBKPP2G5","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38976983","0","","","IN","complete","","","","2023-03-02T19:40:09.528653Z","2023-03-02T19:40:10.320277Z"
"CNPBKPP2G7",True,"Found","34:3A:20:C9:02:F4","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38976985","network","7100832648","CNPBKPP2G7","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38976985","0","","","IN","complete","","","","2023-03-02T19:40:09.536766Z","2023-03-02T19:40:10.482458Z"
"CNPBKPP2GK",True,"Found","34:3A:20:C8:C5:E8","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38976995","network","7100832648","CNPBKPP2GK","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38976995","0","","","IN","complete","","","","2023-03-02T19:30:52.358517Z","2023-03-02T19:30:53.553295Z"
"CNPBKPP2GL",True,"Found","34:3A:20:C9:18:C2","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38976996","network","7100832648","CNPBKPP2GL","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38976996","0","","","IN","complete","","","","2023-03-02T19:30:52.368358Z","2023-03-02T19:30:53.587561Z"
"CNPBKPP2GM",True,"Found","34:3A:20:C9:10:00","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38976997","network","7100832648","CNPBKPP2GM","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38976997","0","","","IN","complete","","","","2023-03-02T19:30:52.374500Z","2023-03-02T19:30:53.603117Z"
