KEY,TIER,STATUS,END_DATE
E67AA03F6CCFC4D5C8,ADVANCED_SWITCH_6100,-,-
E441D3640B06F490E8,ADVANCE_72XX,-,-
E2D8432C64DC24157B,ADVANCED_SWITCH_6300,-,-
EE777E2394DED4ACDA,ADVANCED_SWITCH_6100,-,-
E819163A2AB314D44A,FOUNDATION_SENSOR_LTE,-,-
E3435B13B49EF4742B,FOUNDATION_AP,-,-
E5D65BB4DDD8647B69,VGW_2G,-,-
E55F58F33AA594BF6B,VGW_4G,-,-
EE80803BC5474478D8,ADVANCE_70XX,-,-
EBB262E2FA87D4B25A,ADVANCED_SWITCH_6300,-,-
EB3BF485DD53D4F538,FOUNDATION_ZEBRA_AGENT_CLOUD,-,-
E9DEC74004896472CB,ADVANCED_SWITCH_6300,-,-
E7B68C77D79764D679,FOUNDATION_WLAN_GW,-,-
EE8DAED92CA254741A,FOUNDATION_SWITCH_6200,-,-
E4A9277418F254A96B,FOUNDATION_AP,-,-
EF7CC1CC2659547E9A,FOUNDATION_AP,-,-
EC06DA142FFB6468AA,ADVANCED_SWITCH_6300,-,-
EA108079515E849628,ADVANCE_90XX_SEC,-,-
E182E9DCC59E646EDA,ADVANCED_AP,-,-
ED4E2A235F20442509,FOUNDATION_AP,-,-
E0CBFF5AA827B42BE8,FOUNDATION_SENSOR_CLOUD,-,-
E99EF5C82F3E044849,ADVANCED_SWITCH_6100,-,-
E63976DEB82B94B5A8,FOUNDATION_AP,-,-
ECE1554291875442DA,ADVANCE_70XX,-,-
E6B8F7FFB3F6244DBA,ADVANCED_SWITCH_6300,-,-
E744D7A2C31B8449B9,DEVICE_PROFILING,-,-
E04FB4FBC9B0C47DF8,OPSRAMP_INTEGRATIONS,-,-
E40353C44901A4A449,ADVANCED_SWITCH_6100,-,-
E6231C0D6C4964D5B9,FOUNDATION_AP,-,-
EA8A4F4D87AEE4D108,ADVANCED_AP,-,-
E430343D79A7E49FE9,FOUNDATION_AP,-,-
EE257F4F3355844189,FOUNDATION_AP,-,-
ECAC2D69F0D2C4784B,FOUNDATION_AGENT_CLOUD,-,-
E7E9AD64612B34352A,ADVANCED_SWITCH_6100,-,-
E9F11A039B2EA44DC9,FOUNDATION_AP,-,-
EFC72BCDABF234D28A,FOUNDATION_SWITCH_6200,-,-
E79E945F5EB214E98B,FOUNDATION_WLAN_GW,-,-
E1A3C7109F4C64D7E9,FOUNDATION_AP,-,-
E14FF01FE80B04FEB9,ADVANCED_SWITCH_6300,-,-
E43BA40BE0E64437C9,ADVANCED_SWITCH_8XXX_9XXX_10XXX,-,-
E513C0102752743A5B,ADVANCE_90XX_SEC,-,-
E046F28F7E5E94A8FB,ADVANCED_SWITCH_6300,-,-
EC6B7D853B696481DB,FOUNDATION_AP,-,-
EF1B9A3E8F0CC4A679,ANALYTICS,-,-
EB5DDA7AFE58145C8B,ADVANCED_SWITCH_6100,-,-
EE30EED1B043A40118,ADVANCED_SWITCH_6300,-,-
E4F193EC1EF8047179,ADVANCED_SWITCH_6100,-,-
E536FD9B1E36246C3B,FOUNDATION_AP,-,-
ED0477D08A94844778,ADVANCED_SWITCH_6300,-,-
E17B62C4874724FC79,ADVANCED_AP,-,-
E5758746B45A44CFCB,ADVANCED_92XX_SEC,-,-
EFDFAEBB50C6F47109,FOUNDATION_AP,-,-
E4E35DC6062174A578,FOUNDATION_SWITCH_6200,-,-
EB3C31DF1F0B04D57A,FOUNDATION_AP,-,-
E981B974D4B614BB19,ADVANCED_AP,-,-
E048079309FCB402C8,ADVANCED_SWITCH_6300,-,-
E8444F6F6AFE54F548,ADVANCED_SWITCH_6100,-,-
EABD9B612543E49478,ADVANCED_AP,-,-
E8DF4FC80ACDB40FEB,FOUNDATION_AP,-,-
E6DCFC455EF5044B6B,ADVANCED_SWITCH_6300,-,-
E2FF18B595F8E495D8,FOUNDATION_AP,-,-
ED471BD0199F54ECBB,ADVANCED_91XX,-,-
EA06DA982DB7E48B3B,FOUNDATION_AP,-,-
EFCC5500E760D41A58,ADVANCED_SWITCH_6300,-,-
EF5D9F2DE344C4B15B,ADVANCED_SWITCH_6300,-,-
E5C89F38E73024FDC8,ADVANCED_91XX_SEC,-,-
E343742F0B8FD4EE88,ADVANCED_SWITCH_6400,-,-
EB2EA47101E094478B,FOUNDATION_AP,-,-
EF43167FEB63D470AB,WLAN_ADVANCED_90XX_SEC,-,-
E24596C4E02EF46BCA,ADVANCED_SWITCH_6100,-,-
EB6C0A0E548F34029B,ADVANCED_SWITCH_6100,-,-
ED5D2B35D32F54599B,ADVANCED_SWITCH_6300,-,-
E5EF0F2144F6C4E308,ADVANCED_SWITCH_6100,-,-
ED673FDF790AA4F9FA,ADVANCED_SWITCH_6200,-,-
E1A8C390B60624BA2B,VGW_500M,-,-
E2B829926E86B463C8,FOUNDATION_AP,-,-
E4D808BC35C8149509,ADVANCED_SWITCH_6100,-,-
EB6BD1AD09F4046F59,ADVANCE_72XX,-,-
EF41247E942934BCD8,ADVANCED_SWITCH_6100,-,-
E3681616368214FB59,FOUNDATION_AP,-,-
ECF5B274470904FDBB,ADVANCE_70XX,-,-
